station,week,date,mean_temp,max_temp,min_temp,total_rainfall
Changi,2024-05-26,2024-05-26,29.5,29.5,29.5,0
Changi,2024-06-02,2024-06-02,27.4,27.4,27.4,6.2
Changi,2024-06-09,2024-06-09,29.1,29.1,29.1,14.4
Changi,2024-06-16,2024-06-16,28,28,28,12.6
Changi,2024-06-23,2024-06-23,28.6,28.6,28.6,0
Changi,2024-06-30,2024-06-30,26.7,26.7,26.7,35.6
Changi,2024-07-07,2024-07-07,28.2,28.2,28.2,0.4
Changi,2024-07-14,2024-07-14,29.2,29.2,29.2,0.6
Changi,2024-07-21,2024-07-21,30,30,30,0
Changi,2024-07-28,2024-07-28,30,30,30,0
Changi,2024-08-04,2024-08-04,27.3,27.3,27.3,32.4
Changi,2024-08-11,2024-08-11,28.7,28.7,28.7,0.8
Changi,2024-08-18,2024-08-18,29.1,29.1,29.1,0
Changi,2024-08-25,2024-08-25,27.3,27.3,27.3,1.6
Changi,2024-09-01,2024-09-01,29.6,29.6,29.6,0
Changi,2024-09-08,2024-09-08,28.6,28.6,28.6,0.6
Changi,2024-09-15,2024-09-15,27.9,27.9,27.9,8.4
Changi,2024-09-22,2024-09-22,29.9,29.9,29.9,0
Changi,2024-09-29,2024-09-29,29,29,29,0
Changi,2024-10-06,2024-10-06,27.9,27.9,27.9,7.6
Changi,2024-10-13,2024-10-13,28.3,28.3,28.3,0.2
Changi,2024-10-20,2024-10-20,27.1,27.1,27.1,18.6
Changi,2024-10-27,2024-10-27,30.7,30.7,30.7,0
Changi,2024-11-03,2024-11-03,27.6,27.6,27.6,10
Changi,2024-11-10,2024-11-10,27.6,27.6,27.6,12.2
Changi,2024-11-17,2024-11-17,26.8,26.8,26.8,14
Changi,2024-11-24,2024-11-24,28,28,28,0
Changi,2024-12-01,2024-12-01,28.4,28.4,28.4,0.2
Changi,2024-12-08,2024-12-08,28.1,28.1,28.1,4.6
Changi,2024-12-15,2024-12-15,28.3,28.3,28.3,3.8
Changi,2024-12-22,2024-12-22,27.7,27.7,27.7,0
Changi,2024-12-29,2024-12-29,28.2,28.2,28.2,0.4
Choa Chu Kang (South),2023-12-31,2024-01-01,25.8,25.8,25.8,5.8
Choa Chu Kang (South),2024-01-07,2024-01-07,24.3,24.3,24.3,65
Choa Chu Kang (South),2024-01-14,2024-01-14,27.6,27.6,27.6,0
Choa Chu Kang (South),2024-01-21,2024-01-21,27.3,27.3,27.3,0.8
Choa Chu Kang (South),2024-01-28,2024-01-28,28,28,28,0.4
Choa Chu Kang (South),2024-02-04,2024-02-04,28.1,28.1,28.1,0.2
Choa Chu Kang (South),2024-02-11,2024-02-11,27.7,27.7,27.7,0
Choa Chu Kang (South),2024-02-18,2024-02-18,28.1,28.1,28.1,2.6
Choa Chu Kang (South),2024-02-25,2024-02-25,28.8,28.8,28.8,0
Choa Chu Kang (South),2024-03-03,2024-03-03,26.6,26.6,26.6,18.8
Choa Chu Kang (South),2024-03-10,2024-03-10,27.2,27.2,27.2,24.4
Choa Chu Kang (South),2024-03-17,2024-03-17,29.3,29.3,29.3,0
Choa Chu Kang (South),2024-03-24,2024-03-24,29.5,29.5,29.5,0
Choa Chu Kang (South),2024-03-31,2024-03-31,29,29,29,28.2
Choa Chu Kang (South),2024-04-07,2024-04-07,29.5,29.5,29.5,2
Choa Chu Kang (South),2024-04-14,2024-04-14,28.5,28.5,28.5,0.6
Choa Chu Kang (South),2024-04-21,2024-04-21,28.7,28.7,28.7,0.8
Choa Chu Kang (South),2024-04-28,2024-04-28,29.3,29.3,29.3,0.4
Choa Chu Kang (South),2024-05-05,2024-05-05,29.4,29.4,29.4,0
Choa Chu Kang (South),2024-05-12,2024-05-12,28.8,28.8,28.8,0
Choa Chu Kang (South),2024-05-19,2024-05-19,29.1,29.1,29.1,6.2
Choa Chu Kang (South),2024-05-26,2024-05-26,29.2,29.2,29.2,0
Choa Chu Kang (South),2024-06-02,2024-06-02,NA,NA,NA,0
Choa Chu Kang (South),2024-06-09,2024-06-09,29.1,29.1,29.1,0
Choa Chu Kang (South),2024-06-16,2024-06-16,28.1,28.1,28.1,24.2
Choa Chu Kang (South),2024-06-23,2024-06-23,28.4,28.4,28.4,0
Choa Chu Kang (South),2024-06-30,2024-06-30,25.7,25.7,25.7,40.8
Choa Chu Kang (South),2024-07-07,2024-07-07,28.3,28.3,28.3,0.4
Choa Chu Kang (South),2024-07-14,2024-07-14,29.1,29.1,29.1,0
Choa Chu Kang (South),2024-07-21,2024-07-21,29.9,29.9,29.9,0
Choa Chu Kang (South),2024-07-28,2024-07-28,30.1,30.1,30.1,0
Choa Chu Kang (South),2024-08-04,2024-08-04,26.5,26.5,26.5,64.2
Choa Chu Kang (South),2024-08-11,2024-08-11,28.4,28.4,28.4,0.4
Choa Chu Kang (South),2024-08-18,2024-08-18,29.2,29.2,29.2,0
Choa Chu Kang (South),2024-08-25,2024-08-25,27,27,27,12.2
Choa Chu Kang (South),2024-09-01,2024-09-01,29.4,29.4,29.4,0
Choa Chu Kang (South),2024-09-08,2024-09-08,28.3,28.3,28.3,3.2
Choa Chu Kang (South),2024-09-15,2024-09-15,27.9,27.9,27.9,4.6
Choa Chu Kang (South),2024-09-22,2024-09-22,30.3,30.3,30.3,0
Choa Chu Kang (South),2024-09-29,2024-09-29,28.6,28.6,28.6,1.4
Choa Chu Kang (South),2024-10-06,2024-10-06,27.1,27.1,27.1,45.8
Choa Chu Kang (South),2024-10-13,2024-10-13,28.3,28.3,28.3,0
Choa Chu Kang (South),2024-10-20,2024-10-20,27.3,27.3,27.3,5.8
Choa Chu Kang (South),2024-10-27,2024-10-27,30.1,30.1,30.1,0
Choa Chu Kang (South),2024-11-03,2024-11-03,28.4,28.4,28.4,0
Choa Chu Kang (South),2024-11-10,2024-11-10,27.2,27.2,27.2,17.4
Choa Chu Kang (South),2024-11-17,2024-11-17,26.1,26.1,26.1,8
Choa Chu Kang (South),2024-11-24,2024-11-24,26.8,26.8,26.8,27.4
Choa Chu Kang (South),2024-12-01,2024-12-01,28.4,28.4,28.4,0
Choa Chu Kang (South),2024-12-08,2024-12-08,28.3,28.3,28.3,0.8
Choa Chu Kang (South),2024-12-15,2024-12-15,29.2,29.2,29.2,0
